id,Nama Franchise,Alamat Cabang Pertama,Deskripsi,Kategori,No. Whatsapp,Jenis Franchise,Fasilitas,Harga,Popularity Score,Target Market,Market Size,Risk rate (1-10),Return of Investment% (ROI) ((pendapatan-harga(investasi))/(harga(investasi))×100%,Pendapatan/3bulan,user potential,market share (Penjualan Perusahaan/Total Penjualan Pasar),harga jual produk,kuantitas pembelian/tahun
44,Getmaxs Refill Center,"Jl. Merdeka, Kota Surabaya, 12345","Starting in 2006, PT Bangun Karya Mandiri Sejahtera is one of the ink and toner distributors which distributes its Products to many refill center companies in Indonesia. With various qualities according to customer needs, PT Bangun Karya Mandiri Sejahtera steps as a pioneer in this business. Currently, GetMaxs Refill Center has 8 proven and profitable outlets spread across Jakarta, Bandung, Purwokerto, Palembang and Pematang Siantar. We will continue to develop and expand our network to various big cities in Indonesia with a collaboration system with a business license format",Electronic,+62 303-393-4021,Product,"Cutting-edge electronic devices, Product training programs, Technical support services, Marketing materials, Branding assistance, Access to the latest technology, Research and development collaboration, Warranty and after-sales services, Inventory management support, Regulatory compliance guidance","Rp88,700,000",2,College students,"Rp120,276,000",2,1%,"Rp90,000,000",6682,3.00%,"Rp200,000",3
45,Yole,"Jl. Diponegoro, Kota Semarang, 98765","Yole brings you to the new era of ice cream and frozen yogurt. Yole means a new way of making and eating a better, healthier, and more conscientious ice cream. And above all full of flavor. We never compromise on the taste for the calories. This makes us unique.",Beverages,+62 515-253-9506,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp90,800,000",3,College students,"Rp12,412,400",1,5%,"Rp95,000,000",4433,2.00%,"Rp20,000",7
46,Tokyo ramen,"Jl. Pahlawan, Kota Semarang, 98765","Tokyo Ramen is a franchise that is developing and progressing by selling Products at very affordable prices. We have had experience since 2009 in the Klaten area and in 2014 we intend to offer a ramen noodle partnership. The type of food we offer is typical Japanese cuisine which is very popular with Indonesian people today, which has Japanese flavors with spices that excite the appetite. We would like to offer business cooperation for those of you who want to have a business to increase your income of millions of rupiah every month, apart from not having a big risk, this business can bring long-term profits with a relatively fast BEP.",Restaurant,+62 923-421-3431,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp129,000,000",8,Below elementary students,"Rp695,800,000",3,-7%,"Rp120,000,000",71000,7.00%,"Rp35,000",4
47,Mcdonalds,"Jl. Merdeka, Kota Medan, 67890","McDonald's is the world's largest restaurant chain by revenue, serving over 69 million customers daily in over 100 countries across approximately 36,900 outlets as of 2016. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona. Although McDonald's is known for its hamburgers, they also sell cheeseburgers, chicken Products, french fries, breakfast items, soft drinks, milkshakes, wraps, and desserts.",Restaurant,+62 729-224-7634,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp295,000,000",10,College students,"Rp3,374,750,400",4,-15%,"Rp250,000,000",100439,12.00%,"Rp35,000",8
48,Rachacha thai tea,"Jl. Surya, Kota Bandung, 54321","Rachacha Thai Tea is a business operating in the fast food culinary beverage sector. Rachacha strives to become the largest, most profitable and most trusted Thai tea franchise business by its partners. Rachacha offers delicious and fresh drinks using high quality raw materials but at affordable prices and provides satisfying service for its partners and customers Rachacha Thai Tea Indonesia",Beverages,+62 781-191-7467,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp27,100,000",3,Below elementary students,"Rp9,584,400",2,0%,"Rp27,000,000",7987,2.00%,"Rp15,000",4
49,Piscoek,"Jl. Merdeka, Kota Bandung, 54321",Piscoek is a fried food made from banana and chocolate that is very popular among Indonesians.,Fast Food,+62 260-573-8557,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp25,000,000",4,Below elementary students,"Rp6,917,760",2,0%,"Rp25,000,000",9608,2.00%,"Rp12,000",3
50,Ding Tea,"Jl. Raya, Kota Semarang, 43210","Ding Tea franchise is a chain of bubble tea shops which offer fresh tea, a wide and carefully made tea selection and unique taste beverages. They say that every detail is important for them and they try to keep the professional quality and perfectness. The brand was launched in 2004 and the same year the first Ding Tea franchise came for sale. For more than 17 years the chain has grown to 400 franchise units operating all over the world. However, the franchisor is looking for new franchisees to join their team. The major advantages the brand has over the others are low cost concept, a proven business model and a well-established marketing. They provide their partners with training, and constant support with starting and running the business.",Beverages,+62 692-714-8317,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp20,100,000",3,Married people,"Rp8,019,840",2,-5%,"Rp19,000,000",8354,2.00%,"Rp12,000",4
51,Nasi Kulit Mak Judes,"Jl. Raya, Kota Surabaya, 43210","Packaging (100)Kitchen, Equipment (2 Sets of Stove), Raw Material + Chicken (100), Initial Serving Tools, Instagram Design Template, Employee Training",Restaurant,+62 995-163-5330,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp30,000,000",4,Below elementary students,"Rp425,000,000",1,33%,"Rp40,000,000",85000,5.00%,"Rp20,000",5
52,Andy OnCall,"Jl. Pahlawan, Kota Surabaya, 54321","The Andy OnCall franchise is a distinctive business in the home repair industry that provides invaluable accessibility to reliable, professional, home repair craftsmen to homeowners in different locations. Andy OnCall franchise for sale offers a bevy of opportunities for people seeking to invest in a well-established, time-tested operation. Becoming an Andy OnCall franchisee is an investment that combines the craft of home repair with the strength of a thriving business model. With its numerous advantages, clear requirements, and reasonable costs, it's a robust opportunity for those looking for a franchise business in the home repair sector.",Services & Repair,+62 670-745-1227,Services,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp100,550,000",1,College students,"Rp35,010,000",2,-10%,"Rp90,000,000",5835,3.00%,"Rp100,000",2
53,Tohang's Barber,"Jl. Merdeka, Kota Semarang, 12345",Tohang's Barber is a company engaged in barbershop services that has a premium and full service concept. Built from a simple idea but made very mature where the purpose of establishing Tohang's Barber is to answer the needs of men about the importance of hairstyles in supporting their daily appearance in this modern era.,Barber,+62 956-426-6322,Services,"Rental of location for one year, Venue Renovation, AC, TV, Neon Box, Clipper, 2 Barber Chairs, Waiting Chair, Cabinet, Clipper, Cutting Scissors, Thinning Scissors, Thinning Scissors, Comb Set, Hair Spray, Mirror, Hairbrush, Other Tools, Uniform, Vacuum Cleaner, Brochure, Banner, Hair Paint, Pomade, Vitamins, Hair tonic, Startup Management","Rp30,760,000",2,Below elementary students,"Rp52,759,000",2,1%,"Rp31,000,000",7537,5.00%,"Rp35,000",4
54,Pingu's English,"Jl. Surya, Kota Jakarta, 98765","Pingu’s English is an effective English language course for ages 3-8+ years, based on the world famous and much loved character Pingu. Developed by the UK based Linguaphone Group our unique syllabus combines imaginative activities with multimedia resources, and is already transforming the way young children learn the vital skills of reading, writing, speaking and listening in English. As well as our three-level English language program, we are in the process of developing a three-year full-time kindergarten curriculum, in partnership with Kingston University from the UK. This is also based on our popular Pingu's English brand. We expect to be able to launch this to the global marketplace, initially through our existing Pingu's English partners by the end of 2017",Education,+62 371-630-0878,Product,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp100,970,000",3,Middle-aged,"Rp429,400,000",3,-11%,"Rp90,000,000",21470,5.00%,"Rp100,000",4
55,Wash On Laundry,"Jl. Pahlawan, Kota Semarang, 54321","Wash On is a laundry in Yogyakarta. We were established in 2021 with a target to develop 25 outlets across Yogyakarta by the end of 2023. We strive to provide clean, comfortable laundry and friendly service.",Cleaning Services,+62 557-072-1694,Services,"Cleaning Supplies and Materials, Laundry Management System, Local Promotional and Advertising Materials, Operational Management Manual, Occupational Safety and Health (OHS) Training, Supplier Network and Supporting Products, Finance and Financing System","Rp27,000,000",4,Workers,"Rp145,800,000",3,-7%,"Rp25,000,000",30000,3.00%,"Rp18,000",9
56,Gold's Gym,"Jl. Raya, Kota Surabaya, 12345","Gold's Gym International, Inc. is an American chain of international co-ed fitness centers (commonly referred to as gyms) originally started by Joe Gold in Venice Beach, California. Each gym offers a variety of cardio and strength training equipment as well as group exercise programs. Its headquarters have since relocated to Dallas.",Lifestyle & Sport,+62 034-471-4433,Product,"Rental of location and venue for one year, Gym equipment, Personalized training programs, Fitness class schedules, Interior design support, Branded workout apparel, Marketing materials, Membership management system, Staff training programs, Health and safety guidelines, Nutrition and wellness consultations","Rp239,000,000",8,Workers,"Rp2,880,000,000",3,5%,"Rp250,000,000",8000,12.00%,"Rp250,000",12
57,Radja Dimsum ,"Jl. Merdeka, Kota Semarang, 12345","Radja Dimsum has been present since 2018, by having Products that are very popular with the Indonesian people, Radja Dimsum continues to exist and develop until entering its 5th year.",Fast Food,+62 564-352-8918,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp15,000,000",7,Married people,"Rp66,038,000",1,33%,"Rp20,000,000",9434,4.00%,"Rp35,000",5
58,Ichiryu,"Jl. Merdeka, Kota Surabaya, 98765","As the genuine TONKOTSU(pork-bone broth) Ramen shop, ICHIRYU is developing its brand based on 60 years of the history. ICHIRYU was founded in Hakata, Fukuoka in 1955. It was a first Ramen stand among all the food stands on the side of Nakagawa river. After a while, ICHIRYU placed its main shop in Nakasu and their noodles addicted local ramen noodle experts for years.",Restaurant,+62 944-653-1369,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp110,810,000",4,All ages,"Rp485,100,000",5,-1%,"Rp110,000,000",70000,7.00%,"Rp33,000",3
59,JR Tea,5796 Keith Mews,"Established on February 4, 2016 JR Tea was born in one of the major cities in Eastern Indonesia, namely in Makassar City. Founded by a young man from Makassar named Muh.Jufri, starting from selling tea-based drinks with a contemporary concept for school children.",Beverages,+62 095-950-3870,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp8,500,000",2,"Workers, college student","Rp8,643,600",2,18%,"Rp10,000,000",7203,4.00%,"Rp15,000",2
60,IWG,2241 Zella View,"1989 was the year visionary entrepreneur, Mark Dixon, set about revolutionising the world of work, launching the pioneering Regus Group from his base in Brussels, Belgium. In the intervening years, and in response to changing market dynamics and customer demand, new brands have been added to the business through acquisition and organic growth, culminating in the creation of parent company, IWG plc, in 2016.",Business & Furniture,+62 638-024-6259,Product,"Comprehensive Training Programs, Exclusive Product Lines and Suppliers, Store Design and Visual Merchandising Assistance, Inventory Management Solutions, Marketing and Advertising Support, E-commerce Integration, Financial and Business Planning Assistance","Rp120,230,000",2,workers,"Rp213,678,000",5,-4%,"Rp115,000,000",5276,9.00%,"Rp150,000",3
61,Kopi Gembira,8805 Blanda Station,"Kopi Gembira is one of the latest beverage concepts collaborated by Nex Carlos and his friends.
Why is Kopi Gembira different from the rest? Because, the team behind Kopi Gembira wants to bring back the taste of childhood snacks that make you nostalgic and happy in the drink that has been designed. It will be different from the palm sugar milk coffee that has been ""marketed"" everywhere. Not only does Kopi Gembira transmit a sense of joy, but it also doesn't hurt the pocket because of its affordable price.",Beverages,+62 841-934-9626,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp25,000,000",6,workers,"Rp135,000,000",2,20%,"Rp30,000,000",45000,3.00%,"Rp20,000",5
62,JEI Learning Center,559 Reynold Way,"JEI Learning Centers was founded in South Korea by Sung Hoon Park in 1977. JEI Self-Learning Method, a self-paced, individualized program designed to help students learning math and language concepts step-by-step. JEI helps to improve children’s study habits through constant provision of customized programmed workbooks to reach the full potential of the student. They also provides franchise opportunities. As of 2018, the company operates 83 franchises in the United States and 209 ones outside the country.",Education,+62 287-436-3639,Services,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp120,650,000",3,students,"Rp848,976,000",6,-9%,"Rp110,000,000",17687,8.00%,"Rp100,000",6
63,Ayam Pargoy,7604 Helmer Unions,"ParGoy Kitchen is a Cloud Kitchen that was established in March 2020, the food concept offered by ParGoy Kitchen is delicious food with a contemporary style that can be ordered anytime and anywhere. As of July 2021, ParGoy Kitchen has spread across three branches, namely Pejaten, Salemba, and Thamrin branches.",Fast Food,+62 553-158-2631,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp27,000,000",4,All ages,"Rp21,518,000",1,11%,"Rp30,000,000",7685,2.00%,"Rp20,000",7
64,Nigiwai Sushi,49090 Kelly Lakes,"Nigiwai sushi is one-stop Japanese restaurant franchise. The franchise was founded by experienced Japanese restaurant owners who operate more than twenty restaurants in Thailand. The Nigiwai sushi franchise is very well planned from their experiences. Every detail is thoughtful and design for every kind of investor, you do not have to be a professional investor in food industry, so everyone can be a Nigiwai sushi franchisee. The owners eliminate errors that always occurs in running Japanese restaurant to maximize the most profit while we promise to serve only fresh and excellent food to customers.",Restaurant,+62 635-643-8369,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp130,070,000",3,All ages,"Rp78,096,000",3,-4%,"Rp125,000,000",6508,4.00%,"Rp75,000",4
65,Cavallo Auto Detailing,1310 Von Freeway,"Cavallo provides Premium Waterless Wash n Wax, Full Salon, Interior Detailing, Exterior Detailing, Paint Correction, Engine Detailing, Nano Ceramic Coating & Car Fogging services. And we also sell vehicle paint care Products such as car and motorcycle shampoo, wash n wax, tire polish, car interior cleaner, microfiber cloth and all motor vehicle cleaning needs.",Automotive,+62 914-778-4203,Services,"Rental of location for one year, Venue Renovation, Premium Wash N Wax, Full Salon, Exterior Detailing, Interior Detailing, Engine Detailing, Nano Ceramic Coating, Car Fogging, Nano Ceramic Maintenance, Glas Coating","Rp350,000,000",2,Workers,"Rp89,764,500",3,10%,"Rp385,000,000",8549,7.00%,"Rp75,000",2
66,PunctureSafe ,418 Jorge Cliffs,"Puncturesafe is the Product of the future and that is why over 120 persons in the UK have signed up for a regional franchise during the last 4 years and who in turn have sold to tens of thousands of businesses and individuals. We hope that in due course and with our support a Master Licence Holder will set up their own franchise network within their country similar to the way we have done so in the UK. Our UK business model has been extremely successful due to the nature and quality of the Product, plus the market for PunctureSafe is everywhere, it is all around you. There are also opportunities to approach big companies and government organisations like the Ministry of Defence etc. We supply our low speed extra heavy duty grade to many large companies with off/road vehicle fleets from just a few hundred to tens of thousands. The market of farms, construction, plant hire, demolition, waste management, forestry and mining is huge all over the world.",Automotive,+62 566-207-9791,Product,"Rental of location for one year, Venue Renovation, Premium Wash N Wax, Full Salon, Exterior Detailing, Interior Detailing, Engine Detailing, Nano Ceramic Coating, Car Fogging, Nano Ceramic Maintenance, Glas Coating","Rp130,490,000",2,Workers,"Rp65,256,000",3,3%,"Rp135,000,000",2719,8.00%,"Rp100,000",3
67,Escobarber,859 Marquis Motorway,"Escobarber is a barbershop with a modern minimalist concept with complete care for men and women. Escobarber was created to meet the needs of a market that not only wants a haircut, but also complete care.",Beauty & Healthcare,+62 583-078-4209,Services,"Free Online Cashier 1 Year, HR Attendance System, Android Cashier 1 Pcs, Cctv 4pcs, Basic to Advance Training for Doctors and Owners, Maximum Training 4 Therapists, Product Showcase, Facial Bed 4 Pcs, Trolley 5 Pieces, Brochure 1000 Pcs, Member Card 1000 Pcs, Magnifying Lamp 2 Pcs, Premium Quality Modern Beauty Care Machine and Complete 8 Function Beauty Clinic Scale, 4 Pcs Bed Sheet, 6 Function Facial Tool 1 Pcs, 100 Pcs Home Care & Treatment, Neon Sign Ghanisa Estetika, Free Mentoring and Consultation for 5 Years, Free Therapist Training for 5 Years, Media Coverage, Including Brand License for 5 Years Worth Rp100. 000,000, Neon Box","Rp80,000,000",4,Workers,"Rp1,546,000",2,25%,"Rp100,000,000",1546,1.00%,"Rp20,000",5
68,Sushi-Market,827 Jeramie Springs,We ARE NOT an ordinary company. We ARE NOT trying to sell a million franchises to million people. We want to make every our franchisee a successful businessman. We DO NOT do a one-day business. We make a good and not expensive Product for everyone. We are the first company which makes and sells “take away” Japanese food: rolls and sushi piece by piece. We know how to make good money and sell sushi at low price. Open kitchen – we make sushi in front of the customers. We have dynamic discoveries and for today we are opened in 450 locations in 4 countries.,Fast Food,+62 799-704-8043,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp130,910,000",5,All ages,"Rp234,639,000",4,-8%,"Rp120,000,000",26071,6.00%,"Rp50,000",3
69,Alfamart,38078 Dallin Lane,"Alfamart Franchise is a minimarket outlet business owned and operated under a Franchise Agreement from PT Sumber Alfaria Trijaya, Tbk, as the Alfamart brand holder with the motto ""Satisfied Shopping at the Right Price"". Alfamart's business model is to sell various daily necessities at affordable prices and the concept of a Community Store.",Retail,+62 622-778-1942,Product,"Inventory management, Point-of-sale systems, Visual merchandising support, Marketing and promotional materials, Staff training programs, Exclusive product suppliers, Store layout and design assistance, E-commerce integration, Loyalty programs, Business analytics and reporting tools","Rp500,000,000",10,All ages,"Rp1,084,838,000",7,-40%,"Rp300,000,000",31907,10.00%,"Rp20,000",17
70,Taco Bell,534 Christiansen Drive,"If you'd like to open a restaurant or start your own business, Taco Bell restaurant franchise could be the answer to your desires! Taco Bell franchise is an American net of fast-food restaurants which serve tacos, burritos, quesadillas, nachos. No matter how in a hurry people are in the present days, everyone needs to eat. Taco Bell restaurant franchise gives good opportunities to satisfy people's hunger and fulfill your appetite for fortune. How to start a Taco Bell restaurant franchise? Find out all needed info below: investment information, franchise cost and profit, franchise fees, franchise requirements for sale, etc. Open a Taco Bell Franchise in your city.",Restaurant,+62 373-047-7072,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp140,330,000",7,Family,"Rp123,994,800",7,-14%,"Rp120,000,000",15308,6.00%,"Rp45,000",3
71,Kopi Kulo,52386 Tom River,"Kedai Kopi KULO is a game changer in Indonesia’s coffee-to-go market. Kedai Kopi KULO offers quality coffee at affordable prices. With its house blend coffee bean, Kedai Kopi KULO offers delectable iced coffee drinks with Kopi Kulo and Avocatto as the best sellers!",Beverages,+62 180-481-0461,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp40,000,000",8,Workers,"Rp18,000,000",7,-13%,"Rp35,000,000",10000,3.00%,"Rp15,000",4
72,Tim Hortons,68423 Josue Freeway,"Tim Hortons Franchise is Canada’s largest chain of 4,613 restaurants in nine countries. Its menu includes coffee and tea, hot and cold beverages, snacks and donuts. Hortons restaurant franchise provides exciting opportunities for running a successful business. Buying a Tim Hortons franchise, an entrepreneur receives the assistance of the franchisor, a package of trainings, franchise cost and profit balance tips and proven marketing and management approaches. How to open one of Tim Hortons franchises available for sale? Check out our list of Tim Hortons franchise requirements and investment information which includes all possible franchise fees, and choose the format that suits you.",Restaurant,+62 052-616-0510,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp147,500,000",4,Family,"Rp30,000,000",6,-12%,"Rp130,000,000",25000,3.00%,"Rp20,000",2
73,Ai Gemi - Franchise Ayam Crispy & Rice Box,722 Karlee Villages,"It all started with three founders who were foodies and loved trying new foods, but were constrained by the pandemic in mid-2020.
Seeing many workers losing their livelihoods and being laid off during the pandemic.
This made us learn that there are business opportunities that can survive and can provide jobs for the community.
The idea was born to create a business in the F&B field with Indonesian flavors combined with ASIAN flavors.
We are targeting Indonesian youths and families as our audience.",Fast Food,+62 485-559-5463,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp35,000,000",6,Family,"Rp111,830,250",6,-14%,"Rp30,000,000",18795,7.00%,"Rp17,000",5
74,Peroni,69557 Marjolaine Mountains,"A franchise of PERONI stand is a way to get into the world of good taste, beauty, health, and pleasure! Peroni is a Russian company which produces Products of the highest quality. Peroni stand is not only beautiful and attractive, it is also an opportunity to gain maximum profit from the unused space in your shop and a possibility to open or expand a distribution of new popular natural eco-Products, healthy, and useful delicious gifts. Besides, it allows the attraction of new buyers to your shop and also increases the number of repeat purchases.",Beauty & Healthcare,+62 801-621-3434,Product,"Free Online Cashier 1 Year, HR Attendance System, Android Cashier 1 Pcs, Cctv 4pcs, Basic to Advance Training for Doctors and Owners, Maximum Training 4 Therapists, Product Showcase, Facial Bed 4 Pcs, Trolley 5 Pieces, Brochure 1000 Pcs, Member Card 1000 Pcs, Magnifying Lamp 2 Pcs, Premium Quality Modern Beauty Care Machine and Complete 8 Function Beauty Clinic Scale, 4 Pcs Bed Sheet, 6 Function Facial Tool 1 Pcs, 100 Pcs Home Care & Treatment, Neon Sign Ghanisa Estetika, Free Mentoring and Consultation for 5 Years, Free Therapist Training for 5 Years, Media Coverage, Including Brand License for 5 Years Worth Rp100. 000,000, Neon Box","Rp251,700,000",4,Workers,"Rp112,077,000",8,-30%,"Rp175,000,000",8302,6.00%,"Rp75,000",3
75,Title Boxing Club,425 Reese Lake,"TITLE Boxing Club are the first and only fitness club dedicated to giving people the most empowering boxing workout of their lives. Their signature workout utilizes the fundamentals of a true boxer’s workout – including proper heavy bag training – to strengthen and tone arms, legs, back, core and stamina. The company was founded in 2008. They also provides franchise opportunities. As of 2018, TITLE Boxing Club operates 168 franchises in the United States and 2 ones outside the country.",Lifestyle & Sport,+62 101-057-6137,Services,"Rental of location and venue for one year, Gym equipment, Personalized training programs, Fitness class schedules, Interior design support, Branded workout apparel, Marketing materials, Membership management system, Staff training programs, Health and safety guidelines, Nutrition and wellness consultations","Rp250,000,000",4,Workers,"Rp756,000,000",6,-20%,"Rp200,000,000",3000,12.00%,"Rp300,000",7
76,150bar,779 Hintz Valleys,"We propose to become a partner in the opening of self-service car washes that operate autonomously without employees 24 hours, 7 days a week. The working format of our car washes brings almost passive income to their owners. We accompany our Partners from the application for opening a car wash in our network, to bringing the business to the planned financial indicators.",Car Wash,+62 964-216-8945,Services,"Rental of location for one year, Venue Renovation, 2 AutoClean Waterless Outlets, 1 Autoclean WaterlessPlus Outlet, Outlet Setting Creation, End To End, Integrated System, Employee Training, Grand Opening Promo","Rp155,900,000",,Workers,"Rp53,041,500",7,-36%,"Rp100,000,000",3929,9.00%,"Rp75,000",2
77,Solaria,707 Rowe Forks,Solaria is one of the popular restaurants with a casual dining concept that is a favorite of young people. Its unique taste and high popularity is a profitable opportunity for a franchise business.,Restaurant,+62 188-823-6640,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp450,000,000",8,Family,"Rp328,162,500",6,-22%,"Rp350,000,000",43755,5.00%,"Rp50,000",3
78,Ace Hardware,9794 Elmer Forest,"Founded in 1924 as ""Ace Stores"", the company changed its name to ""Ace Hardware Corporation"" in 1931. It grew dramatically following World War II, more than tripling its sales between the late 1940s and 1959. After the retirement of longtime president and founder Richard Hesse in 1973, Ace was sold to its retailers, becoming a retailer-owned cooperative. It first reached $1 billion in wholesale sales in 1985 and $5 billion in 2015. As of 2016, it has over 4,800 locations in 60 countries. Ace operates 17 distribution centers in the United States, and additional distribution facilities in China, Panama, and United Arab Emirates.",Retail,+62 145-511-5603,Product,"Inventory management, Point-of-sale systems, Visual merchandising support, Marketing and promotional materials, Staff training programs, Exclusive product suppliers, Store layout and design assistance, E-commerce integration, Loyalty programs, Business analytics and reporting tools","Rp365,010,000",8,"Family, Married Couple","Rp127,568,000",5,-19%,"Rp297,000,000",7973,8.00%,"Rp200,000",1
79,Sabana Fried Chicken,1912 Cruickshank Ridges,"Sabana is famous for its fried chicken with large pieces, savory and crispy taste, and affordable prices.",Fast Food,+62 436-134-6251,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp30,000,000",8,Family,"Rp273,000,000",2,33%,"Rp40,000,000",100000,3.00%,"Rp13,000",7
80,Body Fit Training,26063 Towne Stravenue,"Body Fit Training is Australia’s newest and most advanced, group training methodology. It offers scientifically proven training techniques aimed at reducing fat and creating lean muscle into a variety of 50 minute sessions that are overseen by accredited coaches in a dynamic group environment. BFT also provides franchise opportunities.",Lifestyle & Sport,+62 079-181-1725,Product,"Rental of location and venue for one year, Gym equipment, Personalized training programs, Fitness class schedules, Interior design support, Branded workout apparel, Marketing materials, Membership management system, Staff training programs, Health and safety guidelines, Nutrition and wellness consultations","Rp216,430,000",4,Workers,"Rp3,060,000,000",3,-8%,"Rp200,000,000",8500,12.00%,"Rp250,000",12
81,Janji Jiwa,90249 Cristobal Parks,"Recent years saw rapid growth in coffee shops throughout Indonesia, from international chains to small independent operators. Upon launch in 2018, we knew that a clear and resonant point of differentiation would be paramount to the success of Janji Jiwa. We determined to deliver a more creative exploration of food and drink within the convenience of a ‘Grab & Go’ coffee shop format. Janji Jiwa is positioned as the peoples’ Grab & Go coffee shop, where every Indonesian feels welcome, and creativity is always on the menu.",Beverages,+62 122-893-3339,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp98,000,000",9,"High school students, College student","Rp54,000,000",6,-29%,"Rp70,000,000",30000,3.00%,"Rp20,000",3
82,Circle K,1010 Anna Hills,"Circle K Stores Inc. is a Canadian-owned American multinational chain of convenience stores. The company was founded in 1951 and is based in Tempe, Arizona. The chain operates in the USA, Canada and Europe (the Nordics, Baltics and Ireland) and through franchise in Mexico and Asia. Currently there are approximately 1,700 international franchise locations with Master License Agreements in place in Guam and ten other countries. It offers fuel and oil Products; and a range of snacks, beverages, and meals. It also provides vehicle Cleaning services.",Retail,+62 860-123-4603,Product,"Inventory management, Point-of-sale systems, Visual merchandising support, Marketing and promotional materials, Staff training programs, Exclusive product suppliers, Store layout and design assistance, E-commerce integration, Loyalty programs, Business analytics and reporting tools","Rp168,500,000",8,All ages,"Rp570,900,000",6,-11%,"Rp150,000,000",47575,6.00%,"Rp20,000",10
