id,Name Franchise,Address,Description,Category,Number Whatsapp,Type Franchise,Facility,Price,Popularity Score,Target Market,Market Size,Risk rate (1-10),Return of Investment% (ROI) ((pendapatan-harga(investasi))/(harga(investasi))×100%,Pendapatan/3bulan,user potential,market share (Penjualan Perusahaan/Total Penjualan Pasar),harga jual produk,kuantitas pembelian/tahun,,
229,Fantastic Soft Shoes,Vonchester,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Fast Food,+62 046-465-8260,Resto,"Rental of location and venue for one year, Gym equipment, Personalized training programs, Fitness class schedules, Interior design support, Branded workout apparel, Marketing materials, Membership management system, Staff training programs, Health and safety guidelines, Nutrition and wellness consultations","Rp189,500,000",4,High school students,"Rp1,223,687,500",6,-90%,"Rp19,000,000",19579,25.00%,"Rp50,000",5,,
230,Electronic Soft Car,Dariuston,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Beauty & Healthcare,+62 484-059-2318,Store,"Cutting-edge electronic devices, Product training programs, Technical support services, Marketing materials, Branding assistance, Access to the latest technology, Research and development collaboration, Warranty and after-sales services, Inventory management support, Regulatory compliance guidance","Rp110,480,000",3,Middle-aged,"Rp525,000,000",2,-14%,"Rp95,000,000",30000,10.00%,"Rp35,000",5,,
231,Gorgeous Concrete Bacon,New Fannie,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Beverages,+62 673-654-8498,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp130,000,000",3,High school students,"Rp241,200,000",5,69%,"Rp220,000,000",100500,2.00%,"Rp30,000",4,,
232,Intelligent Wooden Bike,New Kenna,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Services & Repair,+62 041-016-1513,Kios,"booth, training, supervision, employee uniforms, complete raw materials, cash register, 21 inch LCD TV, Pineleaf brand license, grand opening promotion materials","Rp219,790,000",4,All ages,"Rp840,000,000",1,-9%,"Rp200,000,000",60000,10.00%,"Rp35,000",4,,
233,Awesome Metal Chips,Wardland,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Restaurant,+62 683-341-1672,Stand,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp130,000,000",4,Junior high school students,"Rp483,075,000",2,-54%,"Rp60,000,000",21470,15.00%,"Rp75,000",2,,
234,Rustic Frozen Gloves,Avondale,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Beauty & Healthcare,+62 922-724-6755,Resto,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp300,000,000",2,Workers,"Rp45,108,000",5,-50%,"Rp150,000,000",18795,5.00%,"Rp12,000",4,,
235,Awesome Cotton Shirt,Kuhicview,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Restaurant,+62 876-477-9366,Stand,"Training, folklore themed shop, batik education trainee, uniform + employee ID lanyard, grand opening companion, 6 month business guidance, 5 year business collaboration","Rp108,000,000",3,Married people,"Rp857,500,000",5,-17%,"Rp90,000,000",50000,7.00%,"Rp35,000",7,,
236,Oriental Concrete Shirt,Nelsstead,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Beverages,+62 272-715-1967,Outlet,"Rental of location for one year, Venue Renovation, AC, TV, Neon Box, Clipper, 2 Barber Chairs, Waiting Chair, Cabinet, Clipper, Cutting Scissors, Thinning Scissors, Thinning Scissors, Comb Set, Hair Spray, Mirror, Hairbrush, Other Tools, Uniform, Vacuum Cleaner, Brochure, Banner, Hair Paint, Pomade, Vitamins, Hair tonic, Startup Management","Rp147,500,000",1,Junior high school students,"Rp31,454,400",4,-87%,"Rp19,000,000",6553,6.00%,"Rp20,000",4,,
237,Handmade Metal Chips,Feeneyberg,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Car Wash,+62 019-786-1981,Kios,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp20,100,000",2,Middle-aged,"Rp1,014,930,000",2,1393%,"Rp300,000,000",18795,5.00%,"Rp90,000",12,,
238,Oriental Frozen Fish,Port Jeanette,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Restaurant,+62 970-027-5662,Kios,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp102,000,000",2,Middle-aged,"Rp352,422,000",7,-12%,"Rp90,000,000",19579,3.00%,"Rp200,000",3,,
239,Generic Frozen Gloves,Port Eulalia,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Fast Food,+62 850-293-6859,Kios,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp95,000,000",2,College students,"Rp41,790,840",7,-58%,"Rp40,000,000",15308,7.00%,"Rp13,000",3,,
240,Practical Concrete Chips,Gregoriaburgh,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Services & Repair,+62 316-732-9522,Kios,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp181,100,000",4,Workers,"Rp58,905,000",2,113%,"Rp385,000,000",5610,10.00%,"Rp35,000",3,,
241,Generic Steel Fish,Doyleport,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Electronic,+62 303-979-8599,Stand,"Consultation, training, assistance, Location and venue rental for 1 year, banners, employee training, business finance","Rp233,000,000",2,Elementary school student,"Rp7,560,000,000",2,-36%,"Rp150,000,000",60000,6.00%,"Rp350,000",6,,
242,Fantastic Metal Shoes,Pueblo,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Beverages,+62 595-923-0828,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp40,000,000",6,All ages,"Rp675,000,000",1,-25%,"Rp30,000,000",30000,6.00%,"Rp75,000",5,,
243,Recycled Wooden Gloves,Fort Frederictown,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Services & Repair,+62 385-830-2041,Resto,"medicine stock, pharmacy licensing, employee recruitment assistance, non-drug logistics, soft opening and grand opening","Rp68,000,000",10,College students,"Rp900,000,000",1,-26%,"Rp50,000,000",15000,5.00%,"Rp100,000",12,,
244,Small Frozen Keyboard,New Russellton,The Football Is Good For Training And Recreational Purposes,Restaurant,+62 229-543-7680,Resto,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp130,000,000",6,Family,"Rp3,150,000,000",2,-46%,"Rp70,000,000",150000,7.00%,"Rp75,000",4,,
245,Luxurious Granite Hat,Port Myrticeside,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Restaurant,+62 202-043-4806,Kios,"Rental of location for one year, Venue Renovation, AC, TV, Neon Box, Clipper, 2 Barber Chairs, Waiting Chair, Cabinet, Clipper, Cutting Scissors, Thinning Scissors, Thinning Scissors, Comb Set, Hair Spray, Mirror, Hairbrush, Other Tools, Uniform, Vacuum Cleaner, Brochure, Banner, Hair Paint, Pomade, Vitamins, Hair tonic, Startup Management","Rp90,800,000",8,Elementary school student,"Rp36,000,000",1,-45%,"Rp50,000,000",30000,3.00%,"Rp10,000",4,,
246,Tasty Concrete Gloves,Jaunitaberg,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Education,+62 124-370-0207,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp120,650,000",3,Middle-aged,"Rp22,324,400",3,-25%,"Rp90,000,000",7973,7.00%,"Rp20,000",2,,
247,Electronic Rubber Fish,West Nasircester,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Restaurant,+62 201-124-5582,Resto,"Cutting-edge electronic devices, Product training programs, Technical support services, Marketing materials, Branding assistance, Access to the latest technology, Research and development collaboration, Warranty and after-sales services, Inventory management support, Regulatory compliance guidance","Rp275,000,000",2,All ages,"Rp507,335,400",4,-75%,"Rp70,000,000",31317,9.00%,"Rp45,000",4,,
248,Modern Plastic Chair,Mertzshire,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles","Consulting
",+62 108-728-7590,Resto,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp74,000,000",6,Elementary school student,"Rp1,080,000,000",2,15%,"Rp85,000,000",300000,8.00%,"Rp15,000",3,,
249,Elegant Bronze Chair,Brockton,The Football Is Good For Training And Recreational Purposes,Automotive,+62 811-526-9747,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp180,000,000",3,All ages,"Rp42,000,000",2,-50%,"Rp90,000,000",8000,3.00%,"Rp35,000",5,,
250,Handmade Plastic Car,San Marcos,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Restaurant,+62 108-815-8561,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp180,000,000",2,Middle-aged,"Rp1,170,000",2,-19%,"Rp145,000,000",3000,1.00%,"Rp13,000",3,,
251,Incredible Fresh Pizza,Norfolk,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Restaurant,+62 753-515-9725,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp189,500,000",6,Family,"Rp3,189,200",1,-37%,"Rp120,000,000",7973,2.00%,"Rp20,000",1,,
252,Practical Steel Bike,Arvillabury,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Education,+62 379-008-5897,Kios,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp295,000,000",2,Family,"Rp4,050,000,000",2,2%,"Rp300,000,000",150000,20.00%,"Rp15,000",9,,
253,Handmade Rubber Table,Baileyboro,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Lifestyle & Sport,+62 724-226-6865,Kios,"booth, training, supervision, employee uniforms, complete raw materials, cash register, 21 inch LCD TV, Pineleaf brand license, grand opening promotion materials","Rp18,320,000",4,Elementary school student,"Rp182,925,000",2,610%,"Rp130,000,000",27100,3.00%,"Rp75,000",3,,
254,Licensed Soft Gloves,Olathe,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Cleaning services,+62 919-291-4907,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp78,200,000",3,Workers,"Rp2,700,000,000",3,28%,"Rp100,000,000",150000,6.00%,"Rp300,000",1,,
255,Incredible Rubber Cheese,North Margeworth,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Services & Repair,+62 443-521-8675,Resto,"Starter kit, operational support (IT setup, sales brochure, presentation material, all relevan stationery articles), terms and conditions document, smooth integration into Antal process and network with ongoing strategic and operational inputs)","Rp193,700,000",4,Married people,"Rp974,190,000",3,-54%,"Rp90,000,000",9278,10.00%,"Rp150,000",7,,
256,Ergonomic Bronze Computer,West Zacherystead,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Fast Food,+62 857-749-8180,Stand,"Free Online Cashier 1 Year, HR Attendance System, Android Cashier 1 Pcs, Cctv 4pcs, Basic to Advance Training for Doctors and Owners, Maximum Training 4 Therapists, Product Showcase, Facial Bed 4 Pcs, Trolley 5 Pieces, Brochure 1000 Pcs, Member Card 1000 Pcs, Magnifying Lamp 2 Pcs, Premium Quality Modern Beauty Care Machine and Complete 8 Function ","Rp80,900,000",3,Family,"Rp490,000,000",3,48%,"Rp120,000,000",70000,7.00%,"Rp25,000",4,,
257,Awesome Granite Pizza,Gleasonhaven,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Restaurant,+62 052-616-0510,Resto,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp84,500,000",4,Students,"Rp9,198,400",1,-59%,"Rp35,000,000",5749,4.00%,"Rp20,000",2,,
258,Small Plastic Tuna,Harrytown,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Education,+62 200-273-0659,Kios,"scales, banners, employee uniforms, training products and programs, brochures, desktop programs, promotional materials, CSC operating standards","Rp180,000,000",2,College students,"Rp1,004,390,000",5,-39%,"Rp110,000,000",100439,2.00%,"Rp100,000",5,,
259,Awesome Metal Tuna,Lake Asiaboro,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Services & Repair,+62 685-867-3120,Kios,"Rental of location for one year, Venue Renovation, Premium Wash N Wax, Full Salon, Exterior Detailing, Interior Detailing, Engine Detailing, Nano Ceramic Coating, Car Fogging, Nano Ceramic Maintenance, Glas Coating","Rp67,700,000",5,College students,"Rp1,071,000,000",2,92%,"Rp130,000,000",45000,4.00%,"Rp35,000",17,,
260,Intelligent Rubber Bacon,Dorcasview,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Beauty & Healthcare,+62 244-682-2516,Resto,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp108,000,000",3,Family,"Rp840,000,000",5,76%,"Rp190,000,000",70000,12.00%,"Rp20,000",5,,
261,Practical Rubber Bacon,Rutherfordfurt,The Football Is Good For Training And Recreational Purposes,Cleaning Services,+62 858-948-8547,Kios,"Business strategy consultations, Market analysis reports, Legal advisory service, Financial planning assistance
Staff training programs, Customized consulting sessions, Branding and marketing strategies, Access to industry experts, Networking opportunities, Regulatory compliance guidance","Rp287,400,000",8,Married people,"Rp135,000,000",2,-86%,"Rp40,000,000",10000,3.00%,"Rp150,000",3,,
262,Ergonomic Rubber Chair,Roseville,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Beverages,+62 937-273-3310,Store,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp120,630,000",2,Middle-aged,"Rp1,365,000,000",6,-59%,"Rp50,000,000",100000,15.00%,"Rp13,000",7,,
263,Tasty Metal Soap,Leonfield,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Hotel & Motel,+62 258-703-9807,Kios,"Inventory management, Point-of-sale systems, Visual merchandising support, Marketing and promotional materials, Staff training programs, Exclusive product suppliers, Store layout and design assistance, E-commerce integration, Loyalty programs, Business analytics and reporting tools","Rp20,100,000",10,"Workers, college student","Rp328,828,500",1,895%,"Rp200,000,000",31317,3.00%,"Rp35,000",10,,
264,Gorgeous Steel Ball,Carson,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Automotive,+62 484-357-1112,Outlet,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp40,300,000",8,Elementary school student,"Rp21,224,400",3,520%,"Rp250,000,000",17687,2.00%,"Rp20,000",3,,
265,Small Steel Table,Gerlachland,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Education,+62 475-633-5083,Stand,"Rental of location and venue for one year, Gym equipment, Personalized training programs, Fitness class schedules, Interior design support, Branded workout apparel, Marketing materials, Membership management system, Staff training programs, Health and safety guidelines, Nutrition and wellness consultations","Rp18,320,000",2,College students,"Rp30,000,000",3,64%,"Rp30,000,000",6000,4.00%,"Rp25,000",5,,
266,Rustic Soft Pants,Pompano Beach,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Fashion,+62 756-904-9972,Stand,"Comprehensive Training Programs, Exclusive Product Lines and Suppliers, Store Design and Visual Merchandising Assistance, Inventory Management Solutions, Marketing and Advertising Support, E-commerce Integration, Financial and Business Planning Assistance","Rp98,000,000",2,Middle-aged,"Rp276,660,000",3,22%,"Rp120,000,000",7685,8.00%,"Rp150,000",3,,
267,Rustic Soft Cheese,New Terrillberg,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Lifestyle & Sport,+62 328-819-6784,Kios,"Rental of location for one year, Venue Renovation, 2 AutoClean Waterless Outlets, 1 Autoclean WaterlessPlus Outlet, Outlet Setting Creation, End To End, Integrated System, Employee Training, Grand Opening Promo","Rp27,000,000",3,Family,"Rp2,400,000,000",2,196%,"Rp80,000,000",100000,5.00%,"Rp120,000",4,,
268,Sleek Fresh Sausages,Lake Stoneside,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Fast Food,+62 648-107-9093,Kios,"Free Online Cashier 1 Year, HR Attendance System, Android Cashier 1 Pcs, Cctv 4pcs, Basic to Advance Training for Doctors and Owners, Maximum Training 4 Therapists, Product Showcase, Facial Bed 4 Pcs, Trolley 5 Pieces, Brochure 1000 Pcs, Member Card 1000 Pcs, Magnifying Lamp 2 Pcs, Premium Quality Modern Beauty Care Machine and Complete 8 Function Beauty Clinic Scale, 4 Pcs Bed Sheet, 6 Function Facial Tool 1 Pcs, 100 Pcs Home Care & Treatment, Neon Sign Ghanisa Estetika, Free Mentoring and Consultation for 5 Years, Free Therapist Training for 5 Years, Media Coverage, Including Brand License for 5 Years Worth Rp100. 000,000, Neon Box","Rp80,000,000",8,Elementary school student,"Rp6,000,000,000",4,-25%,"Rp60,000,000",50000,20.00%,"Rp120,000",5,,
269,Elegant Wooden Hat,Schinnershire,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Beverages,+62 108-574-9038,Stand,"Complete Cooking Equipment, Deep Fryer Stove, Cooler Box, Brand Stickers and Wallpaper, Opening Banners and Banners, First Sales Raw Materials, Marketing Support","Rp25,000,000",3,Below elementary students,"Rp900,000,000",7,220%,"Rp80,000,000",30000,6.00%,"Rp100,000",5,,
270,Recycled Granite Keyboard,North Tremainestead,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Fast Food,+62 297-037-8824,Stand,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp30,000,000",7,Workers,"Rp275,226,000",7,230%,"Rp99,000,000",6553,7.00%,"Rp150,000",4,,
271,Recycled Steel Sausages,Erichberg,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Barber,+62 701-956-5669,Kios,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp168,500,000",4,College students,"Rp87,717,000",7,-41%,"Rp100,000,000",8354,10.00%,"Rp35,000",3,,
272,Generic Bronze Bike,New Martinborough,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Beverages,+62 695-450-6864,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp74,000,000",3,students,"Rp31,500,000",6,55%,"Rp115,000,000",15000,3.00%,"Rp35,000",2,,
273,Intelligent Plastic Gloves,North Callie,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Fast Food,+62 230-979-5398,Stand,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp7,000,000",8,"Family, workers","Rp22,500,000",6,257%,"Rp25,000,000",3000,5.00%,"Rp75,000",2,,
274,Licensed Fresh Chicken,Naderstead,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Restaurant,+62 349-763-1056,Resto,"Reservation system, Interior design support, Staff training, Branding materials, Marketing collateral, Operational manuals, Exclusive amenities, Quality control standards, Centralized booking system, Customer feedback management","Rp120,230,000",8,College students,"Rp82,509,000",8,-53%,"Rp57,000,000",3929,7.00%,"Rp100,000",3,,
275,Practical Wooden Ball,Napa,The Football Is Good For Training And Recreational Purposes,Fast Food,+62 071-645-4188,Minimarket,"Free Online Cashier 1 Year, HR Attendance System, Android Cashier 1 Pcs, Cctv 4pcs, Basic to Advance Training for Doctors and Owners, Maximum Training 4 Therapists, Product Showcase, Facial Bed 4 Pcs, Trolley 5 Pieces, Brochure 1000 Pcs, Member Card 1000 Pcs, Magnifying Lamp 2 Pcs, Premium Quality Modern Beauty Care Machine and Complete 8 Function Beauty Clinic Scale, 4 Pcs Bed Sheet, 6 Function Facial Tool 1 Pcs, 100 Pcs Home Care & Treatment, Neon Sign Ghanisa Estetika, Free Mentoring and Consultation for 5 Years, Free Therapist Training for 5 Years, Media Coverage, Including Brand License for 5 Years Worth Rp100. 000,000, Neon Box","Rp102,000,000",4,Elementary school student,"Rp735,000,000",6,243%,"Rp350,000,000",5000,7.00%,"Rp350,000",6,,
276,Bespoke Plastic Computer,Gersonfield,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Lifestyle & Sport,+62 244-616-1377,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp70,000,000",3,Married people,"Rp125,000,000",7,14%,"Rp80,000,000",25000,5.00%,"Rp20,000",5,,
277,Refined Frozen Shoes,Fountainebleau,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Beverages,+62 383-305-8853,Kios,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp61,400,000",3,Workers,"Rp1,200,000,000",6,-43%,"Rp35,000,000",20000,30.00%,"Rp100,000",2,,
278,Intelligent Steel Chips,West Concepcion,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Fast Food,+62 874-250-7844,Stand,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp240,000,000",4,Elementary school student,"Rp1,512,000,000",5,-38%,"Rp150,000,000",30000,7.00%,"Rp120,000",6,,
279,Gorgeous Wooden Sausages,Ritchiebury,The Football Is Good For Training And Recreational Purposes,Restaurant,+62 236-869-4591,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp366,000,000",3,workers,"Rp852,000,000",2,-92%,"Rp30,000,000",71000,3.00%,"Rp100,000",4,,
280,Unbranded Metal Chips,Wisokyberg,The Football Is Good For Training And Recreational Purposes,Cleaning services,+62 676-128-1641,Kios,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp40,300,000",3,All ages,"Rp700,000,000",3,123%,"Rp90,000,000",100000,5.00%,"Rp20,000",7,,
281,Small Wooden Shoes,Kenosha,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Fast Food,+62 857-123-4470,Kios,"Produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp94,600,000",4,All ages,"Rp1,483,392,000",6,27%,"Rp120,000,000",30904,8.00%,"Rp200,000",3,,
282,Fantastic Cotton Ball,Alveraside,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Business & Furniture,+62 438-939-9440,Kios,"Cutting-edge electronic devices, Product training programs, Technical support services, Marketing materials, Branding assistance, Access to the latest technology, Research and development collaboration, Warranty and after-sales services, Inventory management support, Regulatory compliance guidance","Rp30,000,000",2,Workers,"Rp112,500,000",6,-33%,"Rp20,000,000",7500,6.00%,"Rp50,000",5,,
283,Oriental Cotton Mouse,Cormierburgh,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Retail,+62 909-476-2746,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp90,800,000",2,Junior high school students,"Rp126,990,000",7,148%,"Rp225,000,000",7055,3%,"Rp120,000",5,,
284,Handmade Soft Keyboard,Priceview,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Business & Furniture,+62 790-997-1594,Kios,"Business strategy consultations, Market analysis reports, Legal advisory service, Financial planning assistance
Staff training programs, Customized consulting sessions, Branding and marketing strategies, Access to industry experts, Networking opportunities, Regulatory compliance guidance","Rp25,700,000",5,Middle-aged,"Rp1,215,000,000",6,678%,"Rp200,000,000",45000,10.00%,"Rp90,000",3,,
285,Licensed Frozen Chair,Lianabury,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Lifestyle & Sport,+62 784-002-1032,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp8,900,000",3,College students,"Rp32,400,000",3,1585%,"Rp150,000,000",5000,9.00%,"Rp12,000",6,,
286,Intelligent Steel Bike,West Coltstad,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Beverages,+62 977-483-6372,Outlet,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp295,000,000",4,All ages,"Rp37,084,800",5,-83%,"Rp50,000,000",30904,3.00%,"Rp10,000",4,,
